"","ID","Age","Biomass"
"235",235,6,11.97079389
"236",236,6,25.34754968
"237",237,6,45.7074682
"238",238,8,219.6527718
"239",239,8.5,83.8692583
"240",240,11,27.1544712
"241",241,11,4.063667088
"242",242,2,0.291540353
"243",243,2,3.089556226
"244",244,20,87.56161502
"245",245,20,185.4007531
"246",246,40,442.5816018
"247",247,40,262.8916487
"248",248,6,55.5466689
"249",249,6,5.593899314
"250",250,65,282.1986689
"251",251,70,590.1492663
"252",252,12,114.4430953
"253",253,12,69.18037815
"254",254,13,78.53558467
"255",255,13,131.3433674
"256",256,24,253.7930384
"257",257,24,104.8858944
"258",258,25,110.8637251
"259",259,25,61.06961221
"260",260,36,141.1320815
"261",261,36,196.6421222
"262",262,37,138.5982345
"263",263,37,112.9127625
"264",264,4,26.31323581
"265",265,4,36.86739312
"266",266,4,16.07494277
"267",267,4,13.48099446
"268",268,51,165.6798341
"269",269,51,106.336721
"270",270,52,221.2723415
"271",271,52,256.774433
"272",272,75,220.7022559
"273",273,76,224.1771611
"274",274,76,344.0103249
"275",275,76,247.1590361
"276",276,76,251.6430781
"277",277,76,161.2729835
"278",278,76,131.6831657
"279",279,77,289.9771844
"280",280,200,268.8227295
"281",281,200,191.4469388
"282",282,200,165.5548178
"283",283,14,102.0067504
"284",284,15,95.79873286
"285",285,15,89.53761064
"286",286,16,99.2091383
"287",287,16,39.98651429
"288",288,2,4.865088481
"289",289,2,12.54761802
"290",290,28,140.5537679
"291",291,29,133.3809707
"292",292,3,17.42958481
"293",293,3,13.68451133
"294",294,6,64.26305018
"295",295,75,163.0992235
"296",296,75,215.6878074
"297",297,75,163.3380007
"298",298,75,167.5021519
"299",299,75,187.0948886
"300",300,75,167.4364006
"301",301,75,78.50519691
"302",302,75,204.142503
"303",303,75,110.5011218
"304",304,75,126.2163154
"305",305,75,130.7881387
"306",306,75,172.0002426
"307",307,75,136.9915778
"308",308,75,154.4949733
"309",309,9,69.36775667
"310",310,9,70.54719305
"311",311,9,53.73169342
"312",312,200,216.6732753
"313",313,200,304.7833074
"314",314,200,440.4561652
"315",315,200,288.5762634
"316",316,200,368.7876599
"317",317,200,2063.403856
"318",318,200,299.6671316
"319",319,200,486.9122728
"320",320,200,1196.027694
"321",321,200,259.4170089
"322",322,200,583.4704954
"323",323,200,156.7944162
"324",324,200,367.9512126
"325",325,200,697.1053872
"326",326,10,85.6219854
"327",327,10,27.60799796
"328",328,11,58.17841179
"329",329,11,52.19544069
"330",330,12,74.51142598
"331",331,12,111.063124
"332",332,13,128.0673918
"333",333,14,94.81077415
"334",334,14,81.63309789
"335",335,15,167.8824091
"336",336,15,122.563403
"337",337,15,102.5125306
"338",338,16,50.72250281
"339",339,17,78.1620513
"340",340,17,67.68456643
"341",341,21,141.7956842
"342",342,23,126.0518599
"343",343,23,72.86007726
"344",344,24,90.07264438
"345",345,25,101.0391165
"346",346,25,130.5357576
"347",347,3,28.75631541
"348",348,3,36.29776474
"349",349,3,4.910707429
"350",350,3,3.20823601
"351",351,3,10.73727474
"352",352,30,160.1303348
"353",353,30,159.0499936
"354",354,30,238.8197331
"355",355,38,127.1218206
"356",356,38,81.3216719
"357",357,38,114.519812
"358",358,38,240.5395665
"359",359,38,360.8173803
"360",360,4,27.54311007
"361",361,5,30.40837634
"362",362,5,81.90822048
"363",363,5,14.28395254
"364",364,6,157.8984921
"365",365,6,11.7645328
"366",366,7,43.64845405
"367",367,7,39.55945146
"368",368,7,16.21603478
"369",369,75,106.4563753
"370",370,75,209.8532664
"371",371,75,137.6966576
"372",372,75,136.127588
"373",373,75,74.33917933
"374",374,75,101.0655304
"375",375,75,279.8409898
"376",376,75,214.1078368
"377",377,75,96.21761181
"378",378,75,162.1160232
"379",379,75,164.5624708
"380",380,75,125.6811768
"381",381,75,255.1479357
"382",382,75,86.48897775
"383",383,75,409.2977322
"384",384,75,397.1058089
"385",385,8,97.5376438
"386",386,9,48.19981929
"387",387,9,42.16029361
"388",388,9,22.33539796
"389",389,200,213.39914
"390",390,200,1413.361814
"391",391,200,355.641811
"392",392,200,278.8565291
"393",393,200,333.5858899
"394",394,200,161.0966242
"395",395,200,729.2126472
"396",396,200,177.1839591
"397",397,200,186.8628287
"398",398,200,170.4219351
"399",399,200,381.9983558
"400",400,200,758.627302
"401",401,200,159.8347659
"402",402,200,176.2768298
"403",403,10,122.1165582
"404",404,11,131.6388021
"405",405,25,162.1328508
"406",406,3,34.41031599
"407",407,5,20.62993023
"408",408,8,13.99850271
"409",409,200,448.3035824
"410",410,14,49.2399588
"411",411,2,33.97753133
"412",412,25,111.4785895
"413",413,28,138.528812
"414",414,4,9.678293562
"415",415,40,250.985619
"416",416,200,270.5169251
"417",417,1,2.76822063
"418",418,10,529.786765
"419",419,10,61.04889868
"420",420,10,38.64400171
"421",421,10,91.7905557
"422",422,10,65.49344538
"423",423,10,242.3723941
"424",424,10,104.1951442
"425",425,10,54.67445518
"426",426,11,106.4497859
"427",427,15,88.14696486
"428",428,15,119.7073908
"429",429,15,317.7056797
"430",430,15,101.8967674
"431",431,15,134.5751214
"432",432,15,125.6044133
"433",433,2,1.384142767
"434",434,20,383.8889871
"435",435,20,264.3501674
"436",436,20,388.2245517
"437",437,20,379.7846516
"438",438,20,389.5266364
"439",439,20,212.1102172
"440",440,20,302.4344734
"441",441,20,414.6888966
"442",442,20,250.8757035
"443",443,20,154.929339
"444",444,20,128.4413208
"445",445,20,112.2267701
"446",446,25,223.0164542
"447",447,25,348.1755394
"448",448,25,28.62370394
"449",449,30,220.4678317
"450",450,30,133.461058
"451",451,30,194.4570619
"452",452,30,146.0023947
"453",453,30,765.6833134
"454",454,30,276.8351548
"455",455,30,961.0598778
"456",456,30,398.2549944
"457",457,30,284.6669026
"458",458,30,249.4286463
"459",459,30,170.5823896
"460",460,30,558.6630485
"461",461,30,96.65523527
"462",462,30,89.39314101
"463",463,30,271.2796162
"464",464,31,444.9876661
"465",465,31,906.0806626
"466",466,31,676.4034155
"467",467,4,11.89781801
"468",468,4,42.62012939
"469",469,5,137.4471483
"470",470,5,88.12589895
"471",471,5,44.03453074
"472",472,5,20.5191439
"473",473,5,70.88928688
"474",474,6,25.75768784
